nohup: ignoring input
[dynet] initializing CUDA
[dynet] Request for 1 specific GPU ...
[dynet] Device Number: 3
[dynet]   Device name: GeForce GTX TITAN X
[dynet]   Memory Clock Rate (KHz): 3505000
[dynet]   Memory Bus Width (bits): 384
[dynet]   Peak Memory Bandwidth (GB/s): 336.48
[dynet]   Memory Free (GB): 12.6834/12.7996
[dynet]
[dynet] Device(s) selected: 3
[dynet] random seed: 1299836428
[dynet] allocating memory: 5000MB
[dynet] memory allocation done.
Epoch 1
Iter 3250 / 4558 3.84839081974
Iter 3300 / 4558 4.55832773844
Iter 3350 / 4558 4.09882269965
Iter 3400 / 4558 3.82433227539
Iter 3450 / 4558 4.57335258152
Iter 3500 / 4558 3.02363041469
Iter 3550 / 4558 3.83284152561
Iter 3600 / 4558 5.8264800427
Iter 3650 / 4558 4.32830031375
Iter 3700 / 4558 3.88925276131
Iter 3750 / 4558 4.10668500264
Iter 3800 / 4558 4.31602014814
Iter 3850 / 4558 4.590983412
Iter 3900 / 4558 3.1699404997
Iter 3950 / 4558 3.18949000041
Iter 4000 / 4558 3.46245897733
Iter 4050 / 4558 2.84124998613
Iter 4100 / 4558 3.54204836759
Iter 4150 / 4558 4.07295965211
Iter 4200 / 4558 4.39827734375
Iter 4250 / 4558 3.60042155873
Iter 4300 / 4558 3.99339174421
Iter 4350 / 4558 3.59714902214
Iter 4400 / 4558 3.41754858045
Iter 4450 / 4558 3.36659976414
Iter 4500 / 4558 3.78447101497
Iter 4550 / 4558 4.03233110144
Epoch 2 Valid 16.6206174671
Epoch 2 Test 15.9584595131
Epoch 3
Iter 50 / 4558 2.56553030014
Iter 100 / 4558 3.51894729202
Iter 150 / 4558 3.37959415211
Iter 200 / 4558 3.62849112874
Iter 250 / 4558 3.34987286159
Iter 300 / 4558 3.42052050781
Iter 350 / 4558 4.47313435872
Iter 400 / 4558 4.19340550622
Iter 450 / 4558 3.82444365128
Iter 500 / 4558 4.47670815208
Iter 550 / 4558 4.57970263672
Iter 600 / 4558 3.84435237311
Iter 650 / 4558 3.66399017752
Iter 700 / 4558 3.56188318969
Iter 750 / 4558 3.33806724548
Iter 800 / 4558 3.47663845486
Iter 850 / 4558 5.07176449424
Iter 900 / 4558 3.48117824332
Iter 950 / 4558 3.85244941711
Iter 1000 / 4558 3.79498535156
Iter 1050 / 4558 4.03516981337
Iter 1100 / 4558 3.15440704346
Iter 1150 / 4558 3.64282520001
Iter 1200 / 4558 3.39673928653
Iter 1250 / 4558 3.09528961182
Iter 1300 / 4558 3.59913247319
Iter 1350 / 4558 4.48927243551
Iter 1400 / 4558 3.55336332775
Iter 1450 / 4558 3.29352642241
Iter 1500 / 4558 3.26813354492
Iter 1550 / 4558 2.85623105367
Iter 1600 / 4558 3.62893968665
Iter 1650 / 4558 2.98130382191
Iter 1700 / 4558 2.31892542685
Iter 1750 / 4558 3.10838815789
Iter 1800 / 4558 4.03659790039
Iter 1850 / 4558 3.99122517904
Iter 1900 / 4558 3.79928614657
Iter 1950 / 4558 4.65266956148
Iter 2000 / 4558 4.44972767549
Iter 2050 / 4558 3.52677106857
Iter 2100 / 4558 3.57853892493
Iter 2150 / 4558 3.51015324838
Iter 2200 / 4558 3.37280033412
Iter 2250 / 4558 3.28665213749
Iter 2300 / 4558 3.29451917565
Iter 2350 / 4558 3.37143041578
Iter 2400 / 4558 4.11754005834
Iter 2450 / 4558 4.18032192176
Iter 2500 / 4558 3.44053810521
Iter 2550 / 4558 3.31873084759
Iter 2600 / 4558 3.4243359688
Iter 2650 / 4558 2.94744173686
Iter 2700 / 4558 3.3334725719
Iter 2750 / 4558 3.23242348119
Iter 2800 / 4558 3.00426401411
Iter 2850 / 4558 4.32037222257
Iter 2900 / 4558 2.99561221783
Iter 2950 / 4558 4.19080509048
Iter 3000 / 4558 3.22750781831
Iter 3050 / 4558 4.22868030895
Iter 3100 / 4558 2.92636299133
Iter 3150 / 4558 3.75709005503
Iter 3200 / 4558 4.31890337183
Iter 3250 / 4558 4.20225854013
Iter 3300 / 4558 3.57364032887
Iter 3350 / 4558 3.16351081585
Iter 3400 / 4558 3.72717995479
Iter 3450 / 4558 3.19600161384
Iter 3500 / 4558 3.71197272407
Iter 3550 / 4558 4.21024038277
Iter 3600 / 4558 3.23317972819
Iter 3650 / 4558 3.65144246419
Iter 3700 / 4558 3.42578195765
Iter 3750 / 4558 5.26996866862
Iter 3800 / 4558 3.11249339824
Iter 3850 / 4558 3.58064385776
Iter 3900 / 4558 3.41153025073
Iter 3950 / 4558 3.69675191243
Iter 4000 / 4558 4.26164245605
Iter 4050 / 4558 3.25442423503
Iter 4100 / 4558 3.28252951304
Iter 4150 / 4558 4.15624206047
Iter 4200 / 4558 3.13703705544
Iter 4250 / 4558 2.81825065613
Iter 4300 / 4558 3.05002880096
Iter 4350 / 4558 3.86654246937
Iter 4400 / 4558 3.30190307617
Iter 4450 / 4558 4.41883341471
Iter 4500 / 4558 4.09494089526
Iter 4550 / 4558 3.27168185469
Epoch 3 Valid 19.5546622807
Epoch 3 Test 19.0672992789
Epoch 4
Iter 50 / 4558 2.08003497124
Iter 100 / 4558 3.97491159747
Iter 150 / 4558 3.37858307667
Iter 200 / 4558 3.04505468298
Iter 250 / 4558 3.137941088
Iter 300 / 4558 2.58741760254
Iter 350 / 4558 3.28356338129
Iter 400 / 4558 2.88015127182
Iter 450 / 4558 3.29751864347
Iter 500 / 4558 3.00316810608
Iter 550 / 4558 3.13449125201
Iter 600 / 4558 4.46807122481
Iter 650 / 4558 3.384943896
Iter 700 / 4558 3.08774433965
Iter 750 / 4558 3.43703884549
Iter 800 / 4558 3.22842962092
Iter 850 / 4558 3.31479143415
Iter 900 / 4558 5.20004468086
Iter 950 / 4558 3.41359296526
Iter 1000 / 4558 2.82760583349
Iter 1050 / 4558 4.89002685547
Iter 1100 / 4558 3.67487940295
Iter 1150 / 4558 2.86866494884
Iter 1200 / 4558 3.43427884286
Iter 1250 / 4558 3.74247377997
Iter 1300 / 4558 4.0729284042
Iter 1350 / 4558 3.82642059326
Iter 1400 / 4558 3.01729061046
Iter 1450 / 4558 3.19967691522
Iter 1500 / 4558 5.16473563058
Iter 1550 / 4558 3.1274394989
Iter 1600 / 4558 3.23627433467
Iter 1650 / 4558 2.91366972747
Iter 1700 / 4558 2.88745586689
Iter 1750 / 4558 2.83149036488
Iter 1800 / 4558 3.3757405599
Iter 1850 / 4558 2.37358506521
Iter 1900 / 4558 3.19758895348
Iter 1950 / 4558 3.88258310954
Iter 2000 / 4558 2.89621751959
Iter 2050 / 4558 3.83788729581
Iter 2100 / 4558 4.30832724996
Iter 2150 / 4558 3.62385864258
Iter 2200 / 4558 3.34242276278
Iter 2250 / 4558 3.11016845703
Iter 2300 / 4558 3.09532205258
Iter 2350 / 4558 3.87016659691
Iter 2400 / 4558 3.17438591851
Iter 2450 / 4558 3.26649938513
Iter 2500 / 4558 3.12586767023
Iter 2550 / 4558 3.08004048665
Iter 2600 / 4558 2.87884934743
Iter 2650 / 4558 5.56578265496
Iter 2700 / 4558 3.64543817694
Iter 2750 / 4558 3.89998431797
Iter 2800 / 4558 3.04344714129
Iter 2850 / 4558 2.12517529865
Iter 2900 / 4558 3.76215186486
Iter 2950 / 4558 2.99642389471
Iter 3000 / 4558 3.49757585622
Iter 3050 / 4558 3.36620423852
Iter 3100 / 4558 3.03653244745
Iter 3150 / 4558 3.33125434339
Iter 3200 / 4558 3.2713427157
Iter 3250 / 4558 3.08110194895
Iter 3300 / 4558 3.09061065674
Iter 3350 / 4558 3.64887895534
Iter 3400 / 4558 3.82614571708
Iter 3450 / 4558 4.10079447428
Iter 3500 / 4558 3.19195411319
Iter 3550 / 4558 4.21664755685
Iter 3600 / 4558 2.94024165984
Iter 3650 / 4558 4.66924824434
Iter 3700 / 4558 3.75688580282
Iter 3750 / 4558 2.96459197998
Iter 3800 / 4558 4.35704483524
Iter 3850 / 4558 3.11109087544
Iter 3900 / 4558 3.42848892212
Iter 3950 / 4558 3.07132339478
Iter 4000 / 4558 3.06254988961
Iter 4050 / 4558 4.31524997287
Iter 4100 / 4558 3.69410160867
Iter 4150 / 4558 2.77870660079
Iter 4200 / 4558 2.6766648726
Iter 4250 / 4558 3.69336361355
Iter 4300 / 4558 3.40560272217
Iter 4350 / 4558 2.19843565215
Iter 4400 / 4558 2.63075920726
Iter 4450 / 4558 3.38131374783
Iter 4500 / 4558 2.6139156635
Iter 4550 / 4558 3.60205012496
Epoch 4 Valid 21.498178002
Epoch 4 Test 20.8024982705
Epoch 5
